category,priority,source_path,organized_path,exists,size_bytes,sha256,note
core_2026_plan,P0,data/14、山东-2026高考志愿填报资料/2-山东26招生计划+政策汇总【持续更新】/1-山东2026招生计划/山东-2026-招生计划.xlsx,data/organized/raw_core/2026_plan/shandong_2026_enrollment_plan_all_batches.xlsx,True,3288707,83be6612d75e6450e8c10008ac42b0ff5bdf44c29619ff85edc7501dd6a2fef6,2026 全批次招生计划，需清理批次行/学校行/专业行
core_2026_specialist_plan_and_history,P0,data/14、山东-2026高考志愿填报资料/3-山东高考录取数据2022-2025年【持续更新】/2022-2025山东【高职专科】志愿填报三表合一（已合并26年招生计划）.xlsx,data/organized/raw_core/2026_plan/shandong_2026_specialist_3in1.xlsx,True,3391934,bcc59b23cd83561bd8c1a1515882b938130f247d81e5f2c550677604aa3b5a29,2026 专科计划主表，含 2025/2024/2023 历史录取字段
core_2026_bachelor_plan_and_history,P1,data/14、山东-2026高考志愿填报资料/3-山东高考录取数据2022-2025年【持续更新】/2022-2025山东【本科】志愿填报三表合一（已合并26年招生计划）.xlsx,data/organized/raw_core/2026_plan/shandong_2026_bachelor_3in1.xlsx,True,9834866,59cd37c716b84a3a1b490cab6211c1366d12e4d51333c57a99b7d11ed8100f78,本科计划和历史录取，用于估计本科吸收和下沉压力
core_history_admission_major,P0,data/14、山东-2026高考志愿填报资料/3-山东高考录取数据2022-2025年【持续更新】/2022-2025年全国高校在山东的专业录取分数.xlsx,data/organized/raw_core/history_admission/shandong_major_admission_2022_2025.xlsx,True,9510579,9d87ec1ed624e780a4d6e4c96ad29826491188cdaf9770b8669eb06df243c14d,2022-2025 专业级最低分、最低位次、录取人数
core_history_plan_major,P0,data/14、山东-2026高考志愿填报资料/3-山东高考录取数据2022-2025年【持续更新】/2022-2025年全国高校在山东的招生计划.xlsx,data/organized/raw_core/history_plan/shandong_major_plan_2022_2025.xlsx,True,8211764,63f26e0a233d30bb2f37871bda6934154f2236e2a4593f77cd2c3c9c8864bfb6,2022-2025 专业级招生计划、学制、学费、选科
history_admission_school,P1,data/14、山东-2026高考志愿填报资料/3-山东高考录取数据2022-2025年【持续更新】/2022-2025年全国高校在山东的院校录取分数.xlsx,data/organized/raw_core/history_admission/shandong_school_admission_2022_2025.xlsx,True,779591,3be445094cb948e07bfaa58ed7ff290b76df532be05cbe23128b3f97fdd3578d,院校级录取分，可用于新增专业 fallback
score_rank,P0,data/2026一分一段表.xls,data/organized/raw_core/score_rank/shandong_score_rank_2026.xls,True,86528,707cabfd571f1f4362833c379b3fd0351e5a8f6db16a2341d30de2dc59adf59e,2026 一分一段原始 xls
legacy_toudang,P1,data/2023年投档线.xls,data/organized/raw_core/toudang_lines/shandong_toudang_2023.xls,True,2158592,4a82c4fc343057666554d75fbf9f93449f41d46924abe44588ea49e0c77ecd0c,仓库原有 2023 投档线
legacy_toudang,P1,data/2023年批次二投档线.xls,data/organized/raw_core/toudang_lines/shandong_batch2_toudang_2023.xls,True,1157632,d278c2ea3c3ac5673961f32158cd2de1da870e1e77f61aa6fb4d0bf9195b903d,仓库原有 2023 批次二投档线
legacy_toudang,P1,data/2024年投档线.xls,data/organized/raw_core/toudang_lines/shandong_toudang_2024.xls,True,3644416,16410853de10dd23b6e9d2e9f2aa9db923e23a35c2a5a8bf089f5b96a44376a9,仓库原有 2024 投档线
