source,csv,status,rows,cols,error
data/organized/raw_core/2026_plan/shandong_2026_enrollment_plan_all_batches.xlsx,data/organized/modeling_inputs/extracted_csv/shandong_2026_enrollment_plan_all_batches.csv,ok,27610,19,
data/organized/raw_core/2026_plan/shandong_2026_specialist_3in1.xlsx,data/organized/modeling_inputs/extracted_csv/shandong_2026_specialist_3in1.csv,ok,13910,64,
data/organized/raw_core/2026_plan/shandong_2026_bachelor_3in1.xlsx,data/organized/modeling_inputs/extracted_csv/shandong_2026_bachelor_3in1.csv,ok,25655,67,
data/organized/raw_core/history_admission/shandong_major_admission_2022_2025.xlsx,data/organized/modeling_inputs/extracted_csv/shandong_major_admission_2022_2025.csv,ok,124870,17,
data/organized/raw_core/history_plan/shandong_major_plan_2022_2025.xlsx,data/organized/modeling_inputs/extracted_csv/shandong_major_plan_2022_2025.csv,ok,130747,14,
data/organized/raw_core/history_admission/shandong_school_admission_2022_2025.xlsx,data/organized/modeling_inputs/extracted_csv/shandong_school_admission_2022_2025.csv,ok,11687,16,
data/organized/raw_core/score_rank/shandong_score_rank_2026.xls,data/organized/modeling_inputs/extracted_csv/shandong_score_rank_2026.csv,ok,550,15,
data/organized/reference/school/national_school_basic_with_postgraduate_rate.xlsx,data/organized/modeling_inputs/extracted_csv/national_school_basic_with_postgraduate_rate.csv,ok,3236,31,
data/organized/reference/school/national_school_basic_with_ministry_code.xlsx,data/organized/modeling_inputs/extracted_csv/national_school_basic_with_ministry_code.csv,ok,2859,37,
data/organized/reference/major/major_basic_info.xlsx,data/organized/modeling_inputs/extracted_csv/major_basic_info.csv,ok,1306,10,
data/organized/reference/major/major_satisfaction.xlsx,data/organized/modeling_inputs/extracted_csv/major_satisfaction.csv,ok,50796,11,
data/organized/reference/major/major_employment_info.xlsx,data/organized/modeling_inputs/extracted_csv/major_employment_info.csv,ok,1318,23,
data/organized/reference/rankings/shanghai_ranking_china_university_2025.xlsx,data/organized/modeling_inputs/extracted_csv/shanghai_ranking_china_university_2025.csv,ok,589,17,
data/organized/reference/rules/admission_charter_links_2025.xlsx,data/organized/modeling_inputs/extracted_csv/admission_charter_links_2025.csv,ok,2889,7,
data/organized/raw_core/score_rank/shandong_score_rank_2022_2025.xlsx files,data/organized/modeling_inputs/extracted_csv/shandong_score_rank_2022_2025.csv,ok,2173,9,
