院校名称,所在省,主管部门,院校层次,2025招生章程,院校主页链接,logo地址
北京大学,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1.dhtml,https://t1.chei.com.cn/common/xh/10001.jpg
中国人民大学,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-2.dhtml,https://t1.chei.com.cn/common/xh/10002.jpg
清华大学,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-3.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-3.dhtml,https://t1.chei.com.cn/common/xh/10003.jpg
北京交通大学,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-4.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-4.dhtml,https://t1.chei.com.cn/common/xh/10004.jpg
北京工业大学,北京,北京市教育委员会,本科|“双一流”建设高校,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6658281597,method-view,schId-5.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-5.dhtml,https://t1.chei.com.cn/common/xh/10005.jpg
北京航空航天大学,北京,工业和信息化部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-6.dhtml,https://t1.chei.com.cn/common/xh/10006.jpg
北京理工大学,北京,工业和信息化部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-7.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-7.dhtml,https://t1.chei.com.cn/common/xh/10007.jpg
北京科技大学,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-8.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-8.dhtml,https://t1.chei.com.cn/common/xh/10008.jpg
北方工业大学,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6694873983,method-view,schId-9.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-9.dhtml,https://t1.chei.com.cn/common/xh/10009.jpg
北京化工大学,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-10.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-10.dhtml,https://t1.chei.com.cn/common/xh/10010.jpg
北京工商大学,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6657527266,method-view,schId-11.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-11.dhtml,https://t1.chei.com.cn/common/xh/10011.jpg
北京服装学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656357596,method-view,schId-12.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-12.dhtml,https://t1.chei.com.cn/common/xh/10012.jpg
北京邮电大学,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-13.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-13.dhtml,https://t1.chei.com.cn/common/xh/10013.jpg
北京印刷学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6657160031,method-view,schId-14.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-14.dhtml,https://t1.chei.com.cn/common/xh/10015.jpg
北京建筑大学,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6658868759,method-view,schId-15.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-15.dhtml,https://t1.chei.com.cn/common/xh/10016.jpg
北京石油化工学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6657344342,method-view,schId-16.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-16.dhtml,https://t1.chei.com.cn/common/xh/10017.jpg
北京电子科技学院,北京,中共中央办公厅,本科,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-17.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-17.dhtml,https://t1.chei.com.cn/common/xh/10018.jpg
