一级专业代码,一级专业名称,二级专业代码,二级专业名称,三级专业代码,三级专业名称,类型,专业描述,授予学位,相近专业
01,哲学,0101,哲学类,010101,哲学,本科,专业代码：010101授予学位：哲学学士修学年限：四年开设课程：哲学概论、马克思主义哲学原理、中国哲学史、西方哲学史、科学技术哲学、伦理学、宗教学、美学、逻辑学、心理学、中外哲学原著导读等。主要实践性教学环节：包括社会实习、社会调查、社会公益活动等，一般安排10周左右。相近专业：宗教学逻辑学社会学哲学是稀少且智慧的学科哲学实用性若但稀少的专业，经常讲物质决定意识。哲学是一门“爱智”学科，哲学是对普遍而基本的问题的研究，这些问题多与实在、存在、知识、价值、理性、心灵、语言、思想等有关。学哲学有什么用吗哲学追求的是大智慧，不仅帮助人洞察世事，而且教人学会思考。哲学是一种思维训练，能够使人得到人生的智慧，一个人只有拥有正确的宏观思维方式，与众不同的观察视角，才能立于不败之地，才能脱颖而出，而这些都依赖于一个人的哲学素质。请记住，哲学不能教你怎么走人生之路，但哲学早已教会你该怎么学会走哪条路。哲学有必要读研因为哲学专业不以应用性和技术型见长，而以研究性取胜，因此就目前情况来看，本科生参加工作的难度较大，需要读研。哲学就业形势并没有那么灰暗一部分同学爱上这门学科，他们将继续与先哲对话，于是继续完成硕士、博士学业，而后成为大学教师、学者、政府机关高参；另一部分同学把哲学作为一种思维训练，在得到人生智慧后走入社会，发挥自己的才能，进入各级党政机关选择政途；有的进入各种文化传媒机构，如出版社、报社、杂志社等；需要较强的抽象思维能力如果你对理论研究有一定兴趣，并且有较强的抽象思维能力，则很适合报考哲学专业。,"哲学学士", 哲学类
01,哲学,0101,哲学类,0101013k,宗教学,本科,专业代码：010103K授予学位：哲学学士修学年限：四年开设课程：中国哲学史、外国哲学史、宗教学导论、佛教史、道教史、基督教史、伊斯兰教史、民间宗教研究、宗教社会学、宗教心理学、宗教问题社会调查与方法等。主要实践性教学环节：宗教问题社会调查，一般安排6周左右。相近专业：哲学逻辑学伦理学宗教是研究对象简单来讲，宗教只是一种对社群所认知的主宰的崇拜和文化风俗的教化。研究的对象是“宗教”，包括宗教社会学，比较宗教学，宗教心理学等等。宗教学不同于迷信多数宗教认为在现实世界之外，还有超自然的力量或实体（上帝、天神、鬼灵等）存在，并认为这种超自然的力量能够影响人们的命运，因而产生敬畏和崇拜的思想感情。但是宗教不同于迷信。宗教一般是由共同的信仰、道德规范、仪礼、教团组织等要素所构成。神学与宗教学的区别神学是内学，宗教学是外学，神学是从内部看宗教，宗教是从外部看。神学研究者本人就是信仰者，宗教学研究者本人仅仅是学者，未必信教。前者是主观的，后者是客观的。建议考研考博深造宗教学需求量很低，相对来说不好就业。对口岗位基本不好找。可以考虑考研，考博，以后做学术。更适合有高自省能力的学生宗教学适合有很强的自省能力的同学，喜欢思考、沉思和独处，并且应热爱社会主义祖国，具有良好的道德操守，愿为社会主义现代化建设服务。,"哲学学士",
01,哲学,0101,哲学类,010102,逻辑学,本科,专业代码：010102授予学位：哲学学士修学年限：四年开设课程：数学分析、高等代数、抽象代数、概率统计、逻辑导论、数理逻辑、集合论、模态逻辑、归纳逻辑、应用逻辑、逻辑史、逻辑哲学、中国逻辑史、西方逻辑史、现代逻辑思想史、程序语言设计、操作系统等。相近专业：哲学宗教学伦理学数学计算机逻辑学是研究思维规律逻辑学一门基础性和工具性的学科，是关于思维规律的学说。它为包括基础学科在内的一切科学提供逻辑分析、逻辑批判、逻辑推理、逻辑论证的工具。逻辑学不属于数学逻辑学是属于哲学大类的，不是属于数学类。逻辑学是研究思维与推理的学科，是联合国教科文组织7大基础学科之一，另六大基础学科是数学，天文，化学，生命科学，天文学，地理学。因此逻辑学不属于数学，当然逻辑学利用数学方式扩展了自己的研究，比如数理逻辑。学好逻辑学有什么用逻辑学学好了，可以提高自己的思维能力和正确表达思想的能力，还有识别错误和揭露诡辩的能力，你的实际能力就提高了，也可以少被某些假权威忽悠。总的来说这个专业能培养人严谨的思维、精密的推算能力和审慎的操作能力。毕业找到对口岗位很难进大学教书，当教学科研人员传授哲学知识和研究专门课题。也可以搞搞研究。国家机关、企事业管理部门的管理工作也吸纳逻辑学专业的毕业生，工作待遇和工作环境比较好。报社、出版社编辑也需要观点独特且文采好的毕业生。计算机能力好的也可以从事计算机软件方面找到工作的。一定要有耐心和兴趣由于逻辑学非常枯燥的，没有足够耐心是很难学的。同时，也需要一定的数学基础并对计算机感兴趣。,"哲学学士",
01,哲学,0101,哲学类,010104T,伦理学,本科,专业代码：010104T授予学位：哲学学士修学年限：四年开设课程：主要课程：马克思主义哲学原理、中国哲学概论、西方哲学概论、伦理学、数理逻辑、美学原理、科学技术哲学、宗教学基础、马克思主义哲学发展史原著选读、中国伦理思想史、西方伦理思想史等。主要实践性教学环节涵盖宗教问题社会调查，一般安排6周左右。相近专业：哲学逻辑学宗教学伦理学是关于道德的学科伦理学以道德现象为研究对象，不仅包括道德意识现象（如个人的道德情感等），而且包括道德活动现象（如道德行为等）以及道德规范现象等，主要是关注道德，善恶，德性，公正，正义，权利，平等等等方面。学伦理学有什么好处伦理学可以使人更清醒，看得更清楚，并且学会如何去思考一个问题，如何看待社会中的实际伦理问题，例如，扶不扶这类关于公民道德的问题。最重要的是一切都源于生活，也将回归于生活。北京地区就业集中伦理学专业毕业生就业去向，主要是国家各部门机关、各教学科研单位，以及宣传、新闻媒体、出版等相关部门。就业地区主要集中在北京、上海、深圳等城市。兴趣是首选伦理学适合对此专业有很大兴趣的学生。,"哲学学士",
02,经济学,0201,经济学类,020101,经济学,本科,专业代码：020101授予学位：经济学学士修学年限：四年开设课程：主干学科：经济学经济学主要课程：政治经济学、《资本论》、西方经济学、统计学、国际经济学、货币银行学、财政学、经济学说史、发展经济学、企业管理、市场营销、国际金融、国际贸易、线性代数、高等数学、概率论与数理统计等。主要实践性教学环节：包括社会调查、毕业实习，-般安排12周。核心课程——经济学基础、中级微观经济学、中级宏观经济学、政治经济学、财政学、货币银行学、国际经济学、金融经济学、计量经济学、公司理财、经济史、经济思想史、当代中国经济、劳动经济学、产业经济学、网络经济学、会计学、统计学、国际贸易、国际金融、公司财务、市场营销、企业经济学等。相近专业：国际经济与贸易财政学金融学国民经济管理贸易经济保险金融工程信用管理体育经济投资学环境资源与发展经济学房地产经营与估计统计学国际文化贸易税务税收研究人类社会规律的使用学科经济学是研究价值的生产、流通、分配、消费的规律的理论。经济学是一门社会科学，研究对象是人类社会，是人的行为。经济学是一门经世致用的实用学科，一种分析的方法和工具。经济学就在我们身边。无处不在，无时不在。经济学与金融学的不同之处经济是经世济民，是哲学；金融是金钱融通，是钱学；经济学更偏重科学研究，主要研究给定市场条件下供给与需求双方的均衡问题。金融学更偏重商业实务，主要研究金融市场中投资人和融资企业的相互影响。经济学有必要考研但数学要好就业去向广发，管理者居多经济学专业毕业生就业去向分布比较广泛，经济学专业主要在综合经济管理部门、政策研究部门、金融机构和企业等，从事经济分析、预测、市场营销和经济管理工作，经济学有着“管理者孵化器”的美称。数学基础很重要如果考生具备良好的数学背景和浓厚兴趣，这是一个天然优势，这些固然重要，但最重要的是要有思维模式，愿意思考的学生更适合。,"经济学学士",
02,经济学,0201,经济学类,020102,经济统计学,本科,专业代码：020102授予学位：经济学学士修学年限：四年开设课程：数理统计、描述统计、国民经济核算、宏观经济统计分析、抽样调查原理、多源统计分析、计算机应用、政治经济学、会计学、货币银行学等经济统计学是研究数据的经济统计学是研究如何搜集、整理、分析数据，通过客观现象的数量特征和规律得出结论，并进行预测和决策的科学，是通用的方法论科学。考研是学术之路的最好选择经济统计学属于多科交叉学科，如果想往学术方向发展，那最好考研。就业领域广泛本专业毕业生主要就业领域有金融机构（银行、证券公司、保险公司等）、调查咨询机构、ZF机关和事业单位、大型国企和外企等。数学基础牢固，数字敏感经济统计学要有一定的数学知识（如微积分，概率论，线性代数，运筹学等），并且对数字比较敏感和严谨。同时，勤思考，多动脑，勤练习，软件熟；开眼界，广知识会更有利。,"",
02,经济学,0201,经济学类,020103T,国民经济管理,本科,专业代码：020103T授予学位：经济学学士修学年限：四年开设课程：核心课程：经济学基础、中级微观经济学、中级宏观经济学、财政学、货币银行学、国际经济学、金融经济学、计量经济学、统计学、会计学、政治经济学、国民经济管理学、发展战略与规划、投入产出分析、产业经济学、管理学基础等。主要课程：管理学、国民经济学、产业经济学、宏观经济数量分析方法与模型、区域经济学。相近专业：经济学国际经济与贸易财政学金融学国民经济管理贸易经济保险金融工程信用管理网络经济学体育经济投资学环境资源与发展经济学房地产经营与估计统计学国际文化贸易税务税收本专业的主要内容包括：马克思主义理论、西方宏观经济理论、国民经济调控理论与方法。具体内容有：财政学、金融学、国际经济学、计量经济学、统计学基本理论与方法、管理学原理、管理经济学、国民经济管理学、产业经济学、宏观经济数量分析方法与模型、区域经济学等国民经济管理专业知识，还有经济体制比较、国有资产管理、人力资源管理、战略规划与管理、统计分析和财务管理等辅助课程。基础课程：微积分、线性代数、概率论与数理统计、政治经济学、西方经济学、会计学、财政学、统计学、货币银行学、国际经济学、计量经济学。学制以四年制为基础，实行三至七年的弹性学制。授予学位经济学学士学位相近专业：经济学国际经济与贸易财政学金融学贸易经济保险金融工程信用管理网络经济学体育经济投资学环境资源与发展经济学房地产经营与估计统计学国际文化贸易税务税收国民经济管理是做什么国民经济管理是指从社会经济总体的角度进行的全局性的统一管理。总任务是根据客观规律的要求，不断调整和完善生产关系，改革上层建筑，科学地组织生产力，高效率地组织经济活动，促进社会主义经济的发展。就业面窄，适合读研就业面是很窄的，政府门槛高。建议去读研究生吧。就业方向广，北京岗位最多国民经济专业的就业方向主要包括市场公关、营销人员、咨询顾问、对外贸易和房地产建筑等。国民经济管理专业就业岗位最多的地区是北京。兴趣是选专业的前提男女生皆可报考，但要有浓厚的兴趣是学此专业的前提。,"经济学学士", 经济学类 经济学 能源经济 财政学 税收学 金融学 金融工程 保险学 投资学 信用管理 经济与金融 国际经济与贸易 贸易经济 农业经济管理类 农林经济管理
02,经济学,0201,经济学类,020104T,资源与环境经济学,本科,专业代码：020104T授予学位：经济学学士修学年限：四年开设课程：自然资源学、环境学概论、资源与环境经济学、资源开发与管理、产业经济学、发展经济学、生态经济学、资源环境定量分析方法、经济地理学、可持续发展理论与实践、环境认证与审计、环境会计学等。一门交叉的新型学科资源与环境经济学是一门经济科学与自然科学相交叉的新型学科，资源与环境经济学主要是用经济学的工具来分析环境、资源问题。该专业的研究对象是什么资源与环境经济学的研究对象是“人类和环境”这对矛盾之间的关系。就业前景非常广泛本专业的就业前景非常广泛，毕业生可在综合经济管理部门、政策研究部门、金融机构和企业从事资源与环境经济学分析、预测、规划和经济管理等方面工作。语数外基础要好学生应具有较好的语文、数学、英语基础和较强的社会活动能力及综合能力。,"",
02,经济学,0201,经济学类,020105T,商务经济学,本科,专业代码：020105T授予学位：经济学学士修学年限：四年开设课程：商务数学、统计I、人类、环境和科学、宏观经济学原理经济、管理学原理、管理心理学、中级微观经济学、数理经济学、货币银行学、公共金融学、商务调研方法、国际宏观经济学、战略经济学商务经济学位特设专业商务经济学专业属于经济学大类，经济学类，为特设专业。商务经济学方向的本科课程为学生提供结合经济和商务方面的学习和实践课程。学生有机会更好的理解现实社会的商务现象和做出切合实际的商务决定。商务经济学的专业指标商务经济学专业的毕业五年薪酬排全国前13.4%，专业的工作稳定性排全国前15.22%，该专业的职位就业面排全国前18.65%，专业的行业就业面排全国前19.39%就业前景广阔商务经济学的就业机会多，可以到国家经济部门或私人贸易公司工作的机会。经过统计，北京地区为该专业就业集中区，其次为上海、天津等城市。兴趣很重要除了具有浓厚的学习兴趣外，还要具有较强的文字和口头表达能力。,"",
02,经济学,0201,经济学类,020106T,能源经济,本科,专业代码：020106T授予学位：经济学学士修学年限：四年开设课程：能源经济学、能源市场与价格、能源安全、低碳经济与能源政策、能源经济数量模型、能源产业管理、自然资源与环境经济学、能源企业管理、能源金融等相近专业：经济学国际经济与贸易财政学金融学贸易经济保险金融工程信用管理网络经济学体育经济投资学环境资源与发展经济学国际文化贸易税务一门年轻的交叉新兴学科能源经济学是一门整合经济学、管理学、资源环境等优势学科推出的前沿性、交叉性的新学科，研究能源生产、交换、分配、消费过程的经济关系和经济规律的学科。能源经济学算是政治经济学、工程经济学的一个分支。能源经济的发展前景如何能源经济的范围其实是很广泛的，像现在比较流行的低碳经济、绿色环保、生态经济等等这类的涉及到能源问题，节能环保的都可以囊括在能源经济里面。能源问题现在是全世界范围的问题，国家层面上对能源经济是非常关注的，在将来以后的时间能源将成为制约经济发展的主要因素，更多的是国家的大力支持。就业前景非常广阔目前全球能源短缺，这应该是个比较热门的专业，从事政策面研究的可能性较大，政府机关的发改委、政策研究室、国家能源局等单位，大型国企也是就业方向之一。大中型能源企业的经济师也是个很好的就业方向。综合素质要求高能源经济专业对学生的综合素质要求非常高。,"经济学学士", 经济学类 经济学 国民经济管理 财政学 税收学 金融学 金融工程 保险学 投资学 信用管理 经济与金融 国际经济与贸易 贸易经济 新能源材料与器件 能源动力类 能源与环境系统工程 新能源科学与工程 
