学历类型,学科一类,学科二类,学科三类,就业概况-名次,就业概况-名次-描述,就业最多地区,就业最多行业,就业行业分布,就业行业分布比例,就业地区分布,就业地区分布比例,工资情况,工资比例,经验情况,经验比例,学历要求,学历比例,就业方向,从事岗位,平均工资,工作年限,工作年限工资
本科,工学,电子信息类,通信工程,第 23 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第23,深圳,通信/电信/网络设备,"[""通信/电信/网络设备"",""计算机软件"",""电子技术/半导体/集成电路"",""通信/电信运营、增值服务"",""新能源"",""互联网/电子商务"",""计算机服务(系统、数据服务、维修)"",""其他行业"",""仪器仪表/工业自动化"",""建筑/建材/工程""]","[22%,15%,13%,13%,9%,7%,5%,5%,3%,3%]","[""深圳"",""上海"",""北京"",""哈尔滨"",""广州"",""成都"",""武汉"",""杭州"",""南京"",""西安""]","[15%,15%,14%,10%,10%,8%,7%,6%,6%,4%]","[""4500-5999 "",""3000-4499 "",""20000-29999 "",""50000以上 "",""面议 ""]","[42%,14%,14%,14%,14%]","[""不限经验 "",""1-3年 "",""5-10年 "",""3-5年 ""]","[42%,28%,14%,14%]","[""本科 "",""大专 ""]","[85%,14%]",本专业学生毕业后可研究、设计、制造、运营及在国民经济各部门和国防工业中从事开发、应用通信技术与设备的工作,"[""通信工程师"",""项目经理"",""硬件工程师"",""技术支持工程师"",""销售经理"",""网络工程师"",""嵌入式软件工程师"",""无线通信工程师"",""射频工程师"",""产品经理"",""售前工程师"",""软件工程师"",""销售工程师"",""测试工程师"",""数据通信工程师"",""移动通信工程师"",""运维工程师"",""电子工程师"",""售前技术支持工程师"",""客户经理"",""天线工程师"",""软件测试工程师"",""高级硬件工程师"",""算法工程师"",""fpga工程师"",""通信工程项目经理"",""销售总监"",""通信工程设计师"",""专利代理人"",""区域销售经理"",""电气工程师"",""院校客户经理"",""通信设计工程师"",""弱电工程师"",""大客户经理"",""java开发工程师"",""国内驻点客户经理"",""硬件测试工程师"",""通信技术工程师""]",5860,"[""应届生"",""1-3年"",""3-5年"",""5-10年"",""10年以上""]","[5120,5870,9400,11290,8110]"
本科,工学,电子信息类,信息工程,第 4 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第4,上海,建筑/建材/工程,"[""建筑/建材/工程"",""计算机软件"",""电子技术/半导体/集成电路"",""房地产"",""新能源"",""互联网/电子商务"",""仪器仪表/工业自动化"",""机械/设备/重工"",""计算机服务(系统、数据服务、维修)"",""通信/电信/网络设备""]","[16%,13%,12%,12%,11%,8%,6%,6%,5%,4%]","[""上海"",""深圳"",""北京"",""广州"",""武汉"",""杭州"",""成都"",""南京"",""苏州"",""西安""]","[19%,18%,13%,13%,7%,7%,6%,5%,4%,3%]","[""面议 "",""6000-7999 "",""4500-5999 "",""20000-29999 "",""10000-14999 ""]","[29%,25%,16%,14%,13%]","[""不限经验 "",""1-3年 "",""3-5年 "",""5-10年 "",""应届毕业生 ""]","[39%,23%,20%,10%,6%]","[""大专 "",""本科 "",""不限学历 "",""初中 "",""中专 ""]","[36%,28%,28%,2%,2%]",本专业学生毕业后可到高等院校、科研院所、企事业单位及电气与电子公司的自动化、信息化、数字化电气系统从事工程设计、系统分析及运行、科学研究、技术开发、经济管理等方面的工作。,"[""销售工程师"",""销售经理"",""项目经理"",""技术支持工程师"",""售前工程师"",""销售代表"",""运维工程师"",""售后工程师"",""软件工程师"",""硬件工程师"",""java开发工程师"",""资料员"",""实施工程师"",""采购工程师"",""网络工程师"",""嵌入式软件工程师"",""区域销售经理"",""信息安全工程师"",""招投标专员"",""质量工程师"",""软件实施工程师"",""电子工程师"",""土建工程师"",""研发工程师"",""售前技术支持工程师"",""it工程师"",""电气工程师"",""测试工程师"",""产品经理"",""软件开发工程师"",""前端开发工程师"",""工程项目经理"",""web前端开发工程师"",""工程资料员"",""项目工程师"",""算法工程师"",""预算员"",""业务经理"",""投标专员"",""技术工程师""]",10270,"[""应届生"",""1-3年"",""3-5年"",""5-10年"",""10年以上""]","[6540,9080,13020,17280,10140]"
本科,工学,电子信息类,水声工程,第 127 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第127,上海,电子技术/半导体/集成电路,"[""电子技术/半导体/集成电路"",""新能源"",""学术/科研"",""仪器仪表/工业自动化"",""机械/设备/重工"",""计算机软件"",""通信/电信/网络设备"",""教育/培训/院校"",""其他行业"",""航天/航空""]","[19%,18%,12%,8%,8%,8%,8%,5%,4%,2%]","[""上海"",""北京"",""南京"",""武汉"",""深圳"",""嘉兴"",""无锡"",""三亚"",""苏州"",""长沙""]","[16%,13%,11%,11%,11%,8%,7%,5%,5%,5%]","[""面议 "",""6000-7999 "",""4500-5999 "",""10000-14999 "",""8000-9999 ""]","[33%,23%,18%,14%,10%]","[""不限经验 "",""1-3年 "",""3-5年 "",""5-10年 "",""10年以上 ""]","[35%,23%,23%,11%,4%]","[""本科 "",""大专 "",""不限学历 "",""中专 "",""中技 ""]","[35%,31%,28%,2%,1%]",,"[""嵌入式软件工程师""]",13430,"[""1-3年"",""3-5年""]","[11300,17330]"
本科,工学,电子信息类,电子信息工程,第 20 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第20,深圳,电子技术/半导体/集成电路,"[""电子技术/半导体/集成电路"",""计算机软件"",""新能源"",""通信/电信/网络设备"",""仪器仪表/工业自动化"",""互联网/电子商务"",""计算机服务(系统、数据服务、维修)"",""通信/电信运营、增值服务"",""汽车及零配件"",""其他行业""]","[26%,14%,12%,11%,8%,7%,5%,5%,4%,3%]","[""深圳"",""上海"",""北京"",""广州"",""杭州"",""武汉"",""成都"",""南京"",""东莞"",""苏州""]","[28%,15%,11%,10%,7%,7%,6%,5%,4%,4%]","[""面议 "",""6000-7999 "",""4500-5999 "",""10000-14999 "",""8000-9999 ""]","[33%,23%,18%,14%,10%]","[""不限经验 "",""1-3年 "",""3-5年 "",""5-10年 "",""10年以上 ""]","[35%,24%,23%,11%,4%]","[""本科 "",""大专 "",""不限学历 "",""中专 "",""中技 ""]","[35%,31%,28%,2%,1%]",本专业学生毕业后可从事各类电子设备和信息系统的研究、设计、制造、应用和开发,"[""硬件工程师"",""嵌入式软件工程师"",""电子工程师"",""软件工程师"",""技术支持工程师"",""销售工程师"",""测试工程师"",""软件开发工程师"",""高级硬件工程师"",""电气工程师"",""硬件测试工程师"",""销售经理"",""算法工程师"",""软件测试工程师"",""售后工程师"",""嵌入式软件开发工程师"",""售前技术支持工程师"",""嵌入式开发工程师"",""项目经理"",""售后技术支持工程师"",""技术工程师"",""射频工程师"",""java开发工程师"",""售前工程师"",""fpga工程师"",""单片机开发工程师"",""嵌入式硬件工程师"",""研发工程师"",""专利工程师"",""产品经理"",""工艺工程师"",""系统工程师"",""高级软件工程师"",""储备干部"",""运维工程师"",""弱电工程师"",""产品工程师"",""嵌入式工程师"",""硬件开发工程师"",""网络工程师""]",6580,"[""应届生"",""1-3年"",""3-5年"",""5-10年""]","[5850,8460,11630,15000]"
本科,工学,电子信息类,广播电视工程,第 107 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第107,北京,通信/电信/网络设备,"[""通信/电信/网络设备"",""互联网/电子商务"",""计算机软件"",""影视/媒体/艺术/文化传播"",""电子技术/半导体/集成电路"",""通信/电信运营、增值服务"",""新能源"",""家具/家电/玩具/礼品"",""教育/培训/院校"",""建筑/建材/工程""]","[15%,15%,13%,10%,9%,8%,8%,7%,6%,5%]","[""北京"",""上海"",""杭州"",""广州"",""深圳"",""成都"",""重庆"",""丽水"",""合肥"",""东莞""]","[29%,15%,12%,11%,6%,5%,5%,4%,4%,4%]","[""面议 "",""6000-7999 "",""4500-5999 "",""10000-14999 "",""8000-9999 ""]","[33%,23%,18%,14%,10%]","[""不限经验 "",""1-3年 "",""3-5年 "",""5-10年 "",""10年以上 ""]","[35%,23%,23%,11%,4%]","[""本科 "",""大专 "",""不限学历 "",""中专 "",""中技 ""]","[35%,31%,28%,2%,1%]",本专业学生毕业后可从事科学研究、系统设计、产品开发应用、系统支持、视音频节目制作等方面工作,"[""音视频工程师"",""技术支持工程师"",""售前工程师""]",6830,"[""应届生"",""1-3年"",""3-5年"",""5-10年""]","[3750,7380,7000,6000]"
本科,工学,电子信息类,电子封装技术,第 64 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第64,深圳,电子技术/半导体/集成电路,"[""电子技术/半导体/集成电路"",""新能源"",""计算机软件"",""仪器仪表/工业自动化"",""通信/电信/网络设备"",""互联网/电子商务"",""其他行业"",""贸易/进出口"",""汽车及零配件"",""学术/科研""]","[53%,10%,7%,7%,5%,4%,3%,2%,2%,2%]","[""深圳"",""上海"",""广州"",""北京"",""成都"",""苏州"",""无锡"",""杭州"",""武汉"",""东莞""]","[36%,17%,7%,6%,5%,5%,5%,4%,4%,4%]","[""面议 "",""6000-7999 "",""4500-5999 "",""10000-14999 "",""20000-29999 ""]","[40%,23%,12%,11%,11%]","[""不限经验 "",""3-5年 "",""1-3年 "",""5-10年 "",""10年以上 ""]","[37%,24%,22%,11%,4%]","[""不限学历 "",""本科 "",""大专 "",""中专 "",""高中 ""]","[32%,31%,30%,2%,2%]",,,21750,"[""5-10年""]",[27500]
本科,工学,电子信息类,医学信息工程,第 43 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第43,上海,医疗设备/器械,"[""医疗设备/器械"",""制药/生物工程"",""医疗/护理/卫生"",""新能源"",""计算机软件"",""学术/科研"",""仪器仪表/工业自动化"",""贸易/进出口"",""电子技术/半导体/集成电路"",""互联网/电子商务""]","[31%,27%,17%,5%,4%,4%,3%,2%,1%,1%]","[""上海"",""广州"",""深圳"",""北京"",""成都"",""武汉"",""杭州"",""南京"",""苏州"",""重庆""]","[20%,15%,14%,14%,7%,6%,6%,5%,4%,3%]","[""面议 "",""6000-7999 "",""4500-5999 "",""20000-29999 "",""10000-14999 ""]","[30%,25%,16%,14%,13%]","[""不限经验 "",""1-3年 "",""3-5年 "",""5-10年 "",""应届毕业生 ""]","[40%,23%,20%,9%,6%]","[""大专 "",""本科 "",""不限学历 "",""中专 "",""初中 ""]","[38%,27%,27%,2%,2%]",本专业学生毕业后可到医疗卫生部门、医疗器械设计与生产部门及其他企事业单位从事各类信息系统和计算机软件系统的应用、设计、开发、维护和评测等工作；也可在医药研究机构、医药高等院校从事科学研究和教学工作。主要面向电子信息和医学信息类的科研院所、医药卫生单位、生物医学电子信息企业等，从事科研、开发、应用设计制造及设备管理和销售等方面工作。,"[""销售工程师"",""区域销售经理"",""技术支持工程师"",""销售经理"",""医疗器械销售代表"",""销售代表"",""医疗器械销售经理"",""产品经理"",""售后工程师"",""医药代表"",""医药销售 渠道销售"",""生命科学仪器销售代表"",""生命科学仪器销售经理"",""应用工程师"",""客户经理"",""生物信息工程师"",""技术支持 软件实施 售后运维"",""服务工程师"",""算法工程师"",""技术销售代表"",""销售"",""医疗器械销售"",""技术服务工程师"",""实施工程师"",""研发工程师"",""技术工程师"",""高级销售工程师"",""售后服务工程师"",""售前工程师"",""市场专员"",""技术销售工程师"",""硬件工程师"",""产品专员"",""客服工程师"",""软件实施工程师"",""大区销售经理"",""嵌入式软件工程师"",""科技服务销售经理"",""维修工程师"",""软件工程师""]",9870,"[""1-3年"",""3-5年""]","[11830,11300]"
本科,工学,电子信息类,电子科学与技术,第 36 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第36,深圳,电子技术/半导体/集成电路,"[""电子技术/半导体/集成电路"",""新能源"",""计算机软件"",""互联网/电子商务"",""仪器仪表/工业自动化"",""通信/电信/网络设备"",""专业服务(咨询、人力资源、财会)"",""贸易/进出口"",""学术/科研"",""机械/设备/重工""]","[26%,14%,12%,8%,8%,7%,6%,5%,4%,4%]","[""深圳"",""上海"",""广州"",""北京"",""成都"",""武汉"",""杭州"",""南京"",""东莞"",""苏州""]","[22%,20%,12%,11%,7%,6%,6%,5%,4%,4%]","[""面议 "",""6000-7999 "",""8000-9999 "",""10000-14999 "",""4500-5999 ""]","[29%,26%,14%,14%,14%]","[""不限经验 "",""1-3年 "",""3-5年 "",""5-10年 "",""应届毕业生 ""]","[40%,21%,20%,8%,8%]","[""本科 "",""大专 "",""不限学历 "",""初中 "",""高中 ""]","[37%,32%,26%,2%,2%]",本专业学生毕业后可在电子公司、通信公司从事计算机、IT行业的工作,"[""硬件工程师"",""合作翻译 口语翻译 同传 soho译员"",""电子工程师"",""工艺工程师"",""产品经理"",""销售工程师"",""嵌入式软件工程师"",""软件工程师"",""技术支持工程师"",""销售经理"",""成像光学设计"",""软件开发工程师"",""图像处理及算法设计"",""算法工程师"",""研发工程师"",""项目经理"",""测试工程师"",""电气工程师"",""航空工业勘察院2020年校园招聘"",""锂电池工艺研发工程师 电芯开发 pe制程 pm项目管理"",""售前工程师"",""me机械设备维护 plc电气维修自动化调试 smt机电工程师"",""国外工作签证月薪过万"",""售后工程师"",""区域销售经理"",""光学工程师"",""各语种翻译"",""嵌入式硬件工程师"",""解决方案经理"",""销售代表"",""专利代理人"",""网络技术工程师"",""高级硬件工程师"",""储备干部"",""区域经理"",""硬件测试工程师"",""产品工程师"",""集团业务技术支撑"",""fae工程师""]",9290,"[""1-3年"",""3-5年""]","[1000,8000]"
本科,工学,电子信息类,电波传播与天线,第 149 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第149,杭州,通信/电信/网络设备,"[""通信/电信/网络设备"",""学术/科研"",""电子技术/半导体/集成电路"",""计算机软件"",""计算机硬件"",""新能源"",""互联网/电子商务"",""其他行业"",""汽车及零配件"",""计算机服务(系统、数据服务、维修)""]","[28%,15%,13%,13%,10%,7%,2%,2%,2%,2%]","[""杭州"",""上海"",""成都"",""重庆"",""深圳"",""合肥"",""广州"",""昆明"",""桂林"",""洛阳""]","[21%,17%,17%,13%,8%,4%,4%,4%,4%,4%]","[""6000-7999 "",""面议 "",""8000-9999 "",""10000-14999 "",""4500-5999 ""]","[27%,23%,18%,16%,14%]","[""不限经验 "",""1-3年 "",""3-5年 "",""应届毕业生 "",""5-10年 ""]","[40%,22%,18%,9%,8%]","[""本科 "",""大专 "",""不限学历 "",""初中 "",""高中 ""]","[38%,32%,24%,2%,2%]",,"[""硬件工程师"",""合作翻译 口语翻译 同传 soho译员"",""电子工程师"",""工艺工程师"",""产品经理"",""销售工程师"",""嵌入式软件工程师"",""软件工程师"",""技术支持工程师"",""销售经理"",""成像光学设计"",""软件开发工程师"",""图像处理及算法设计"",""算法工程师"",""研发工程师"",""项目经理"",""测试工程师"",""电气工程师"",""航空工业勘察院2020年校园招聘"",""锂电池工艺研发工程师 电芯开发 pe制程 pm项目管理"",""售前工程师"",""me机械设备维护 plc电气维修自动化调试 smt机电工程师"",""国外工作签证月薪过万"",""售后工程师"",""区域销售经理"",""光学工程师"",""各语种翻译"",""嵌入式硬件工程师"",""解决方案经理"",""销售代表"",""专利代理人"",""网络技术工程师"",""高级硬件工程师"",""储备干部"",""区域经理"",""硬件测试工程师"",""产品工程师"",""集团业务技术支撑"",""fae工程师""]",,"[""1-3年"",""3-5年""]","[1000,8000]"
本科,工学,电子信息类,电信工程及管理,第 61 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第61,北京,通信/电信/网络设备,"[""通信/电信/网络设备"",""计算机软件"",""通信/电信运营、增值服务"",""电子技术/半导体/集成电路"",""新能源"",""互联网/电子商务"",""房地产"",""计算机服务(系统、数据服务、维修)"",""建筑/建材/工程"",""其他行业""]","[18%,17%,15%,8%,8%,7%,7%,5%,5%,5%]","[""北京"",""深圳"",""上海"",""广州"",""武汉"",""郑州"",""成都"",""南京"",""杭州"",""东莞""]","[16%,15%,14%,14%,10%,7%,5%,5%,5%,5%]","[""面议 "",""6000-7999 "",""4500-5999 "",""10000-14999 "",""8000-9999 ""]","[30%,25%,17%,13%,12%]","[""不限经验 "",""1-3年 "",""3-5年 "",""5-10年 "",""应届毕业生 ""]","[39%,24%,18%,9%,7%]","[""本科 "",""大专 "",""不限学历 "",""高中 "",""中专 ""]","[35%,33%,26%,2%,2%]",,"[""项目经理"",""工程经理"",""运维工程师"",""网络工程师"",""java开发工程师"",""水电工程师"",""技术支持工程师"",""网络技术工程师"",""传输管线项目经理"",""实施工程师"",""机电工程师"",""电气工程师"",""软件运维工程师"",""维护与服务支撑类"",""大客户部经理"",""工程主管"",""工程部经理"",""数据通信工程师"",""项目实施工程师"",""高级网络工程师"",""售前工程师"",""弱电工程师"",""数据挖掘工程师"",""测试工程师"",""首席软件架构师"",""安装工程师"",""网络维护管理"",""网络运维工程师"",""解决方案工程师"",""产品经理"",""工程项目经理"",""财务类"",""高级linux实施工程师"",""it工程师"",""市场经理"",""系统运维工程师"",""软件测试工程师"",""cloud support engineer 云技术支持工程师 280284"",""cloud support engineer 云技术支持工程师 281607""]",,"[""1-3年"",""3-5年""]","[1000,8000]"
