年份,院校名称,院校代码,科类,批次,招生类型,专业组,选科要求,录取人数,最低分数,最低分位,批次线差,学校所在,学校性质,是否985,是否211
2025,七台河职业学院,D918,综合,普通类二段,普通类,,,5,404,413835,254,黑龙江,公办,否,否
2025,七台河职业学院,D918,综合,普通类二段,护理类,,,15,375,473885,225,黑龙江,公办,否,否
2025,三亚中瑞酒店管理职业学院,E612,综合,普通类二段,普通类,,,47,162,679926,12,海南,民办,否,否
2025,三亚城市职业学院,C717,综合,普通类二段,普通类,,,53,152,680933,2,海南,民办,否,否
2025,三亚城市职业学院,C717,综合,普通类二段,中外合作办学,,,20,154,680783,4,海南,民办,否,否
2025,三亚学院,D892,综合,普通类一段,普通类,,,26,442,331240,1,海南,民办,否,否
2025,三亚学院,D892,综合,普通类一段,中外合作办学,,,3,485,224215,44,海南,民办,否,否
2025,三亚学院,D892,综合,普通类二段,中外合作办学（本科专业）,,,3,466,271558,316,海南,民办,否,否
2025,三亚学院,D892,综合,普通类二段,本科专业,,,8,428,362256,278,海南,民办,否,否
2025,三亚护理职业学院,E893,综合,普通类二段,普通类,,,,150,681127,0,海南,民办,否,否
2025,三亚理工职业学院,E236,综合,普通类二段,普通类,,,11,247,650762,97,海南,民办,否,否
2025,三亚理工职业学院,E236,综合,普通类二段,护理类,,,1,311,582830,161,海南,民办,否,否
2025,三亚航空旅游职业学院,D931,综合,普通类二段,普通类,,,173,186,676683,36,海南,民办,否,否
2025,三峡大学,B075,综合,普通类一段,普通类,,,189,515,152206,74,湖北,公办,否,否
2025,三峡大学,B075,综合,普通类二段,本科专业,,,2,558,70189,408,湖北,公办,否,否
2025,三峡大学,B075,综合,普通类一段,护理类,,,3,532,115641,91,湖北,公办,否,否
2025,三峡大学科技学院,D236,综合,普通类一段,普通类,,,8,475,249285,34,湖北,民办,否,否
2025,三峡大学科技学院,D236,综合,普通类二段,普通类,,,18,416,389687,266,湖北,民办,否,否
2025,三峡大学科技学院,D236,综合,普通类二段,护理类,,,2,415,392264,265,湖北,民办,否,否
2025,三峡旅游职业技术学院,E258,综合,普通类二段,普通类,,,50,363,497020,213,湖北,公办,否,否
2025,三峡电力职业学院,E061,综合,普通类二段,普通类,,,60,439,337151,289,湖北,公办,否,否
2025,三明学院,B311,综合,普通类一段,普通类,,,25,466,272163,25,福建,公办,否,否
2025,三江学院,B122,综合,普通类一段,普通类,,,49,444,326544,3,江苏,民办,否,否
2025,三门峡社会管理职业学院,E606,综合,普通类二段,普通类,,,180,276,625651,126,河南,公办,否,否
2025,三门峡职业技术学院,A842,综合,普通类二段,普通类,,,24,394,435228,244,河南,公办,否,否
2025,上海东海职业技术学院,A851,综合,普通类二段,普通类,,,140,257,643009,107,上海,民办,否,否
2025,上海东海职业技术学院,A851,综合,普通类二段,高本贯通,,,28,461,284503,311,上海,民办,否,否
2025,上海东海职业技术学院,A851,综合,普通类二段,护理类,,,8,340,538229,190,上海,民办,否,否
2025,上海中侨职业技术大学,C915,综合,普通类一段,普通类,,,22,456,297330,15,上海,民办,否,否
2025,上海中侨职业技术大学,C915,综合,普通类二段,普通类,,,7,391,441686,241,上海,民办,否,否
2025,上海中侨职业技术大学,C915,综合,普通类一段,护理类,,,1,497,194605,56,上海,民办,否,否
2025,上海中侨职业技术大学,C915,综合,普通类一段,中外合作办学,,,4,451,309630,10,上海,民办,否,否
2025,上海中侨职业技术大学,C915,综合,普通类二段,中外合作办学（本科专业）,,,1,440,334984,290,上海,民办,否,否
