2026年夏季高考文化成绩一分一段表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
分数段,全体,,选考物理,,选考化学,,选考生物,,选考思想政治,,选考历史,,选考地理,
,本段人数,累计人数,本段人数,累计人数,本段人数,累计人数,本段人数,累计人数,本段人数,累计人数,本段人数,累计人数,本段人数,累计人数
697,7,56,7,56,7,56,7,56,,,,,,
696,14,70,14,70,14,70,14,70,,,,,,
695,15,85,15,85,15,85,15,85,,,,,,
694,17,102,17,102,17,102,15,100,,,,,,
693,21,123,21,123,21,123,20,120,,,,,,
692,22,145,21,144,21,144,20,140,,,,,,
691,26,171,26,170,26,170,26,166,,,,,,
690,27,198,26,196,26,196,26,192,,,,,,
689,36,234,36,232,36,232,34,226,,,,,,
688,34,268,34,266,34,266,32,258,,,,,,
687,30,298,30,296,30,296,29,287,,,,,,
686,34,332,34,330,34,330,34,321,,,,,,
685,43,375,42,372,42,372,41,362,,,,,,
684,33,408,32,404,32,404,32,394,,,,,,
683,39,447,39,443,39,443,39,433,,,,,,
682,58,505,56,499,56,499,55,488,,,,,,
681,64,569,62,561,62,561,63,551,,,,,,
680,68,637,68,629,68,629,66,617,,,,,,
679,59,696,58,687,58,687,57,674,,,,,,
678,56,752,55,742,55,742,53,727,,,,,,
677,71,823,69,811,69,811,69,796,,,,,,
676,76,899,74,885,74,885,71,867,,,,,,
675,81,980,79,964,79,964,73,940,,,,,7,32
674,102,1082,102,1066,102,1066,97,1037,,,,,5,37
673,92,1174,91,1157,91,1157,88,1125,,,,,3,40
672,104,1278,101,1258,102,1259,99,1224,,,,,5,45
671,118,1396,115,1373,115,1374,110,1334,,,,,7,52
670,104,1500,101,1474,101,1475,95,1429,3,32,,,9,61
669,128,1628,123,1597,123,1598,117,1546,5,37,5,34,11,72
