排名,高校名称,高校英文名称,高校等级,所在省份,高校类型,总分,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,高端人才,重大项目与成果,国际竞争力
1,清华大学,Tsinghua University,双一流/985/211,北京,综合,1076.1,36.1,85.9,46,56.7,331.4,115.5,35.5,142.8,97.3,129
2,北京大学,Peking University,双一流/985/211,北京,综合,1027.7,35,85.9,28.9,53.1,328.5,113.8,17.8,151.8,102.6,110.2
3,浙江大学,Zhejiang University,双一流/985/211,浙江,综合,868.9,35.1,77.3,33.2,52.8,300.9,111.7,22.3,98.9,64.6,72.1
4,上海交通大学,Shanghai Jiao Tong University,双一流/985/211,上海,综合,851.7,35.7,69.8,28.9,54.1,278.8,116.3,25.5,96.6,88,57.9
5,复旦大学,Fudan University,双一流/985/211,上海,综合,788.4,36.8,74.1,17.4,51.7,267.8,89.9,23.3,98.6,73,55.7
6,南京大学,Nanjing University,双一流/985/211,江苏,综合,707.8,36.8,64.2,12.1,50.6,274.2,78.2,9.5,85.5,51.5,45.3
7,中国科学技术大学,University of Science and Technology of China,双一流/985/211,安徽,理工,637,40,49.7,13,51.8,238.4,73.1,9.8,76.1,27.4,57.8
8,武汉大学,Wuhan University,双一流/985/211,湖北,综合,629.2,33.8,53.1,14.6,53.6,270,64.5,9.3,53.8,44,32.5
9,华中科技大学,Huazhong University of Science and Technology,双一流/985/211,湖北,综合,628.9,32.8,48.2,13,50.6,254.5,78.1,10.9,52.9,54.1,33.9
10,西安交通大学,Xi'an Jiaotong University,双一流/985/211,陕西,综合,598.5,34.6,44,12.7,49.6,265.8,69.6,16.9,43.8,31.4,30.3
11,北京航空航天大学,Beihang University,双一流/985/211,北京,理工,585.4,33.5,41.6,15.7,50.7,243.6,64.1,11.8,53.6,46,24.7
12,中山大学,Sun Yat-sen University,双一流/985/211,广东,综合,585.2,32,54.2,15,51.6,210.9,90.2,9.2,58.2,29.5,34.5
13,北京理工大学,Beijing Institute of Technology,双一流/985/211,北京,理工,582.4,33.5,36.4,15.7,49.6,233.5,65.2,17.7,45.7,49.9,35.2
14,哈尔滨工业大学,Harbin Institute of Technology,双一流/985/211,黑龙江,理工,576.4,32.6,42.9,18.1,51.4,242.8,67.1,13.8,42.4,39.9,25.4
15,四川大学,Sichuan University,双一流/985/211,四川,综合,576.3,32.1,43.2,9.6,49.9,247.7,75.5,14.4,44.4,31.9,27.8
16,东南大学,Southeast University,双一流/985/211,江苏,综合,575,34.9,51.2,15.9,50.2,241.3,66.8,12.1,39,35.5,28
17,中国人民大学,Renmin University of China,双一流/985/211,北京,综合,558,33.7,58.5,11.2,50.4,245.8,44.9,1.4,44.6,51.9,15.6
18,同济大学,Tongji University,双一流/985/211,上海,综合,547.7,35.2,42,16.8,48.3,230.8,66.9,10.7,48,22.5,26.6
19,北京师范大学,Beijing Normal University,双一流/985/211,北京,师范,543.8,32.1,53.2,13.4,47.1,225.4,50,2.3,44.6,27.7,48.1
20,天津大学,Tianjin University,双一流/985/211,天津,理工,528.5,33.4,35.7,9.8,52,249,49.2,11.1,36.2,25.9,26.2
21,西北工业大学,Northwestern Polytechnical University,双一流/985/211,陕西,理工,513.7,33.1,26.6,13,52.2,223.7,59.5,8.4,25.1,42.2,29.8
