school_code,school_name,province,city,school_nature,education_level,school_type,is_public
A001,北京大学,,,公办,本科,,True
A002,中国人民大学,,,公办,本科,,True
A003,清华大学,,,公办,本科,,True
A004,北京交通大学,,,公办,本科,,True
A005,北京工业大学,,,公办,本科,,True
A006,北京航空航天大学,,,公办,本科,,True
A007,北京理工大学,,,公办,本科,,True
A008,北京科技大学,,,公办,本科,,True
A009,北方工业大学,,,公办,本科,,True
A010,北京化工大学,,,公办,本科,,True
A011,北京工商大学,,,公办,本科,,True
A012,北京服装学院,,,公办,本科,,True
A013,北京邮电大学,,,公办,本科,,True
A015,北京印刷学院,,,公办,本科,,True
A016,北京建筑大学,,,公办,本科,,True
A017,北京石油化工学院,,,公办,本科,,True
A019,中国农业大学,,,公办,本科,,True
A020,北京农学院,,,公办,本科,,True
A022,北京林业大学,,,公办,本科,,True
A023,北京协和医学院,,,公办,本科,,True
A025,首都医科大学,,,公办,本科,,True
A026,北京中医药大学,,,公办,本科,,True
A027,北京师范大学,,,公办,本科,,True
A028,首都师范大学,,,公办,本科,,True
A030,北京外国语大学,,,公办,本科,,True
A031,北京第二外国语学院,,,公办,本科,,True
A032,北京语言大学,,,公办,本科,,True
A033,中国传媒大学,,,公办,本科,,True
A034,中央财经大学,,,公办,本科,,True
A036,对外经济贸易大学,,,公办,本科,,True
A037,北京物资学院,,,公办,本科,,True
A038,首都经济贸易大学,,,公办,本科,,True
A041,中国人民公安大学,,,公办,本科,,True
A043,北京体育大学,,,公办,本科,,True
A047,中央美术学院,,,公办,本科,,True
A048,中央戏剧学院,,,公办,本科,,True
A049,中国戏曲学院,,,公办,本科,,True
A050,北京电影学院,,,公办,本科,,True
A051,北京舞蹈学院,,,公办,本科,,True
A052,中央民族大学,,,公办,本科,,True
A053,中国政法大学,,,公办,本科,,True
A054,华北电力大学(北京),,,公办,本科,,True
A055,南开大学,,,公办,本科,,True
A056,天津大学,,,公办,本科,,True
A057,天津科技大学,,,公办,本科,,True
A058,天津工业大学,,,公办,本科,,True
A059,中国民航大学,,,公办,本科,,True
A060,天津理工大学,,,公办,本科,,True
A061,天津农学院,,,公办,本科,,True
A062,天津医科大学,,,公办,本科,,True
A063,天津中医药大学,,,公办,本科,,True
A065,天津师范大学,,,公办,本科,,True
