major_code,major_name,major_raw
00,学前教育(师范类),00 学前教育(师范类)
00,工商企业管理,00 工商企业管理
00,旅游管理,00 旅游管理
00,无人机应用技术,00 无人机应用技术
00,法律事务,00 法律事务
00,电梯工程技术,00 电梯工程技术
00,航空复合材料成型与加工技术,00 航空复合材料成型与加工技术
00,资源综合利用技术,00 资源综合利用技术
00,中医学(5+3一体化),00中医学(5+3一体化)
00,临床医学,00临床医学
00,人工智能(拔尖英才试点班),00人工智能(拔尖英才试点班)
00,哲学,00哲学
00,学前教育(师范类),00学前教育(师范类)
00,思想政治教育(师范类),00思想政治教育(师范类)
00,戏剧影视文学,00戏剧影视文学
00,旅游管理,00旅游管理
00,智能地球探测,00智能地球探测
00,材料科学与工程(珠峰实验班),00材料科学与工程(珠峰实验班)
00,汉语言文学,00汉语言文学
00,汉语言文学(师范类),00汉语言文学(师范类)
00,法学,00法学
00,经济学,00经济学
00,英语,00英语
00,英语(师范类),00英语(师范类)
00,车辆工程,00车辆工程
01,中医学,01 中医学
01,中文,01 中文
01,中草药栽培与加工技术,01 中草药栽培与加工技术
01,中药学,01 中药学
01,临床医学,01 临床医学
01,人工智能技术应用,01 人工智能技术应用
01,体育教育,01 体育教育
01,健康管理,01 健康管理
01,储能材料技术,01 储能材料技术
01,光伏工程技术,01 光伏工程技术
01,刑事执行,01 刑事执行
01,动物医学,01 动物医学
01,医学营养,01 医学营养
01,发电厂及电力系统,01 发电厂及电力系统
01,口腔医学,01 口腔医学
01,园林技术,01 园林技术
01,园林技术(高职3+2贯通培养，衔接临沂大学园林专业),01 园林技术(高职3+2贯通培养，衔接临沂大学园林专业)
01,园艺技术,01 园艺技术
01,国土资源调查与管理,01 国土资源调查与管理
01,国际经济与贸易,01 国际经济与贸易
01,国际邮轮乘务管理,01 国际邮轮乘务管理
01,地下与隧道工程技术,01 地下与隧道工程技术
01,城市轨道车辆应用技术,01 城市轨道车辆应用技术
01,复合材料智能制造技术,01 复合材料智能制造技术
01,大数据与会计,01 大数据与会计
01,大数据与会计(中外合作办学),01 大数据与会计(中外合作办学)
01,大数据与会计(注册会计师),01 大数据与会计(注册会计师)
01,大数据与审计,01 大数据与审计
01,大数据与财务管理,01 大数据与财务管理
01,大数据技术,01 大数据技术
01,婴幼儿托育服务与管理,01 婴幼儿托育服务与管理
01,学前教育,01 学前教育
01,学前教育(师范类),01 学前教育(师范类)
01,安全技术与管理,01 安全技术与管理
01,宠物医疗技术,01 宠物医疗技术
01,小学教育(师范类),01 小学教育(师范类)
01,小学语文教育(师范类),01 小学语文教育(师范类)
01,工业机器人技术,01 工业机器人技术
01,工业设计,01 工业设计
01,工程测量技术,01 工程测量技术
01,工程造价(造价师方向),01 工程造价(造价师方向)
01,市场营销,01 市场营销
01,应用化工技术,01 应用化工技术
01,应用电子技术,01 应用电子技术
01,应用英语,01 应用英语
01,康复治疗技术,01 康复治疗技术
01,建筑室内设计,01 建筑室内设计
01,建筑工程技术,01 建筑工程技术
01,建筑智能化工程技术,01 建筑智能化工程技术
01,建筑消防技术,01 建筑消防技术
01,建筑装饰工程技术,01 建筑装饰工程技术
01,建筑设计,01 建筑设计
01,建筑设计(中外合作办学),01 建筑设计(中外合作办学)
01,护理,01 护理
01,摄影测量与遥感技术,01 摄影测量与遥感技术
01,数字化设计与制造技术,01 数字化设计与制造技术
01,数字媒体技术,01 数字媒体技术
01,数字经济,01 数字经济
01,数控技术,01 数控技术
01,新能源材料应用技术,01 新能源材料应用技术
01,新能源汽车技术,01 新能源汽车技术
01,新闻采编与制作,01 新闻采编与制作
01,旅游管理,01 旅游管理
01,无人机应用技术,01 无人机应用技术
01,无人机测绘技术,01 无人机测绘技术
01,早期教育,01 早期教育
01,早期教育(师范类),01 早期教育(师范类)
01,智能光电制造技术,01 智能光电制造技术
01,智能光电技术应用,01 智能光电技术应用
01,智能机电技术,01 智能机电技术
01,智能焊接技术,01 智能焊接技术
01,服装与服饰设计,01 服装与服饰设计
01,机械制造及自动化,01 机械制造及自动化
01,机械设计与制造,01 机械设计与制造
01,机械设计制造及其自动化,01 机械设计制造及其自动化
01,机电一体化技术,01 机电一体化技术
01,林业技术,01 林业技术
01,棉花加工与经营管理,01 棉花加工与经营管理
01,民航空中安全保卫,01 民航空中安全保卫
01,水产养殖技术,01 水产养殖技术
01,水利工程,01 水利工程
